time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-09-29T09:59:22.400Z,34.1755,-117.2436667,2.83,1.52,ml,60,40,0.04041,0.14,ci,ci37250847,2015-09-29T21:54:46.900Z,"6km NNW of Highland, California",earthquake
2015-09-29T09:39:10.000Z,62.8313,-150.8123,93.9,1.4,ml,,,,0.85,ak,ak11726281,2015-09-29T17:41:09.536Z,"67km NNW of Talkeetna, Alaska",earthquake
2015-09-29T09:38:43.770Z,33.655,-116.7126667,15.87,0.32,ml,20,76,0.03526,0.06,ci,ci37250839,2015-09-29T21:42:50.026Z,"10km S of Idyllwild, California",earthquake
2015-09-29T09:33:42.000Z,62.3408,-151.1101,76.6,1.6,ml,,,,0.2,ak,ak11726277,2015-09-29T09:57:27.543Z,"51km W of Talkeetna, Alaska",earthquake
2015-09-29T09:30:54.370Z,33.5253333,-116.7298333,4.02,0.36,ml,14,85,0.04044,0.07,ci,ci37250831,2015-09-29T12:45:40.378Z,"6km WSW of Anza, California",earthquake
2015-09-29T09:30:32.320Z,38.0026667,-118.774,6.14,1.22,md,13,316,0.2764,0.08,nc,nc72532541,2015-09-29T21:55:53.360Z,"42km NNE of Mammoth Lakes, California",earthquake
2015-09-29T09:27:17.060Z,30.0248,80.3873,35,4.5,mb,,146,5.991,0.98,us,us10003iqz,2015-09-29T17:29:56.253Z,"23km NW of Dharchula, India",earthquake
2015-09-29T09:18:58.331Z,41.8627,-119.6042,5.7,1.7,ml,5,133.89,0.169,0.1049,nn,nn00512754,2015-09-29T15:43:55.958Z,"71km ESE of Lakeview, Oregon",earthquake
2015-09-29T09:16:02.000Z,62.4726,-152.1786,0,1.6,ml,,,,0.67,ak,ak11726261,2015-09-29T09:57:26.890Z,"108km W of Talkeetna, Alaska",earthquake
2015-09-29T09:12:40.260Z,34.7443,24.6091,30.92,4.9,mb,,74,1.764,1.15,us,us10003iqy,2015-09-29T09:38:00.560Z,"38km SSW of Tympakion, Greece",earthquake
2015-09-29T09:01:32.330Z,46.2058333,-122.2241667,4.813,0.18,ml,8,194,0.02398,0.06,uw,uw61071607,2015-09-29T17:13:59.890Z,"37km NNE of Amboy, Washington",earthquake
2015-09-29T08:59:38.000Z,53.3189,-164.0271,48.3,2.9,ml,,,,0.46,ak,ak11726256,2015-09-29T17:05:01.605Z,"146km SE of Akutan, Alaska",earthquake
2015-09-29T08:58:14.410Z,33.6373333,-116.696,14.24,0.46,ml,23,63,0.03653,0.08,ci,ci37250815,2015-09-29T21:40:21.920Z,"9km NNW of Anza, California",earthquake
2015-09-29T08:46:53.760Z,40.3018,143.7783,35,5,mb,,132,1.774,1.15,us,us10003iqu,2015-09-29T11:08:16.121Z,"172km ENE of Miyako, Japan",earthquake
2015-09-29T08:45:26.620Z,36.5653333,-121.1388333,9.05,1.95,md,47,57,0.04235,0.06,nc,nc72532516,2015-09-29T18:40:49.770Z,"22km NE of Soledad, California",earthquake
2015-09-29T08:33:29.800Z,35.3318333,-118.4873333,8.41,1.08,ml,10,98,0.0678,0.11,ci,ci37266157,2015-09-29T21:39:29.893Z,"22km N of Tehachapi, California",earthquake
2015-09-29T08:32:59.760Z,35.968,-117.8808333,4.01,-0.08,ml,11,67,0.04041,0.06,ci,ci37250799,2015-09-29T21:15:37.149Z,"4km NNE of Little Lake, California",earthquake
2015-09-29T08:32:08.630Z,33.9488333,-116.9315,16.07,0.72,ml,25,105,0.1341,0.15,ci,ci37250791,2015-09-29T19:27:02.090Z,"5km ENE of Beaumont, California",earthquake
2015-09-29T08:31:54.760Z,33.949,-116.9375,15.82,0.61,ml,36,105,0.09982,0.13,ci,ci37250807,2015-09-29T19:15:53.520Z,"4km ENE of Beaumont, California",earthquake
2015-09-29T08:24:59.500Z,18.3889,-65.4507,101,2.7,Md,5,198,0.17786643,0.07,pr,pr15272001,2015-09-29T16:27:33.199Z,"18km WNW of Culebra, Puerto Rico",earthquake
2015-09-29T08:21:25.000Z,61.5372,-150.6471,45.3,2.7,ml,,,,0.88,ak,ak11726246,2015-09-29T16:23:56.220Z,"36km W of Big Lake, Alaska",earthquake
2015-09-29T08:10:11.000Z,64.3142,-152.6128,0,1.5,ml,,,,0.35,ak,ak11726237,2015-09-29T08:31:04.908Z,"98km SSW of Tanana, Alaska",earthquake
2015-09-29T08:06:07.650Z,35.9683333,-117.8806667,3.79,-0.25,ml,7,108,0.04011,0.04,ci,ci37250783,2015-09-29T18:56:35.637Z,"4km NNE of Little Lake, California",earthquake
